"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US37183053424","Census Tract 534.24; Wake County; North Carolina","588600","36883",
"1400000US37183053425","Census Tract 534.25; Wake County; North Carolina","646700","33196",
"1400000US37183053426","Census Tract 534.26; Wake County; North Carolina","722000","75599",
"1400000US37183053427","Census Tract 534.27; Wake County; North Carolina","668900","53362",
"1400000US37183053428","Census Tract 534.28; Wake County; North Carolina","631300","34016",
"1400000US37183053429","Census Tract 534.29; Wake County; North Carolina","515700","58433",
"1400000US37183053430","Census Tract 534.30; Wake County; North Carolina","581700","37354",
"1400000US37183053431","Census Tract 534.31; Wake County; North Carolina","404000","48059",
"1400000US37183053432","Census Tract 534.32; Wake County; North Carolina","497300","52499",
"1400000US37183053433","Census Tract 534.33; Wake County; North Carolina","520000","66982",
"1400000US37183053434","Census Tract 534.34; Wake County; North Carolina","504700","42539",
"1400000US37183053435","Census Tract 534.35; Wake County; North Carolina","499800","43107",
"1400000US37183053436","Census Tract 534.36; Wake County; North Carolina","439600","51231",
"1400000US37183053505","Census Tract 535.05; Wake County; North Carolina","414400","28800",
"1400000US37183053506","Census Tract 535.06; Wake County; North Carolina","491400","29684",
"1400000US37183053507","Census Tract 535.07; Wake County; North Carolina","425200","57564",
"1400000US37183053509","Census Tract 535.09; Wake County; North Carolina","687800","46343",
"1400000US37183053512","Census Tract 535.12; Wake County; North Carolina","463500","117742",
"1400000US37183053513","Census Tract 535.13; Wake County; North Carolina","475000","68082",
"1400000US37183053516","Census Tract 535.16; Wake County; North Carolina","436200","23606",
"1400000US37183053517","Census Tract 535.17; Wake County; North Carolina","404700","36871",
"1400000US37183053518","Census Tract 535.18; Wake County; North Carolina","395100","34327",
"1400000US37183053519","Census Tract 535.19; Wake County; North Carolina","379300","26062",
"1400000US37183053520","Census Tract 535.20; Wake County; North Carolina","397700","36842",
"1400000US37183053521","Census Tract 535.21; Wake County; North Carolina","475200","29171",
"1400000US37183053522","Census Tract 535.22; Wake County; North Carolina","632900","34847",
"1400000US37183053523","Census Tract 535.23; Wake County; North Carolina","759300","93277",
"1400000US37183053524","Census Tract 535.24; Wake County; North Carolina","371400","18882",
"1400000US37183053525","Census Tract 535.25; Wake County; North Carolina","458000","18236",
"1400000US37183053603","Census Tract 536.03; Wake County; North Carolina","647300","41112",
"1400000US37183053604","Census Tract 536.04; Wake County; North Carolina","817400","43588",
"1400000US37183053608","Census Tract 536.08; Wake County; North Carolina","499700","82853",
"1400000US37183053609","Census Tract 536.09; Wake County; North Carolina","497100","179369",
"1400000US37183053611","Census Tract 536.11; Wake County; North Carolina","586000","58862",
"1400000US37183053612","Census Tract 536.12; Wake County; North Carolina","468300","35427",
"1400000US37183053613","Census Tract 536.13; Wake County; North Carolina","739800","115081",
"1400000US37183053614","Census Tract 536.14; Wake County; North Carolina","572300","128979",
"1400000US37183053615","Census Tract 536.15; Wake County; North Carolina","483100","48557",
"1400000US37183053616","Census Tract 536.16; Wake County; North Carolina","897700","54571",
"1400000US37183053617","Census Tract 536.17; Wake County; North Carolina","576900","68443",
"1400000US37183053618","Census Tract 536.18; Wake County; North Carolina","632500","151033",
"1400000US37183053619","Census Tract 536.19; Wake County; North Carolina","-","**",
"1400000US37183053620","Census Tract 536.20; Wake County; North Carolina","473900","64705",
"1400000US37183053711","Census Tract 537.11; Wake County; North Carolina","572200","52996",
"1400000US37183053712","Census Tract 537.12; Wake County; North Carolina","471400","22809",
"1400000US37183053713","Census Tract 537.13; Wake County; North Carolina","611000","54415",
"1400000US37183053714","Census Tract 537.14; Wake County; North Carolina","479500","54092",
"1400000US37183053715","Census Tract 537.15; Wake County; North Carolina","466400","42432",
"1400000US37183053716","Census Tract 537.16; Wake County; North Carolina","389900","34234",
"1400000US37183053717","Census Tract 537.17; Wake County; North Carolina","397900","44293",
"1400000US37183053718","Census Tract 537.18; Wake County; North Carolina","466900","16149",
"1400000US37183053719","Census Tract 537.19; Wake County; North Carolina","472700","15960",
"1400000US37183053720","Census Tract 537.20; Wake County; North Carolina","667000","46965",
"1400000US37183053721","Census Tract 537.21; Wake County; North Carolina","701600","49463",
"1400000US37183053722","Census Tract 537.22; Wake County; North Carolina","531100","46125",
"1400000US37183053723","Census Tract 537.23; Wake County; North Carolina","520100","59873",
"1400000US37183053724","Census Tract 537.24; Wake County; North Carolina","423100","43896",
"1400000US37183053725","Census Tract 537.25; Wake County; North Carolina","469300","30480",
"1400000US37183053726","Census Tract 537.26; Wake County; North Carolina","401600","47187",
"1400000US37183053727","Census Tract 537.27; Wake County; North Carolina","438900","72317",
"1400000US37183053728","Census Tract 537.28; Wake County; North Carolina","369200","11155",
"1400000US37183053729","Census Tract 537.29; Wake County; North Carolina","403600","36114",
"1400000US37183053730","Census Tract 537.30; Wake County; North Carolina","248800","32676",
"1400000US37183053803","Census Tract 538.03; Wake County; North Carolina","716000","58144",
"1400000US37183053804","Census Tract 538.04; Wake County; North Carolina","848100","70880",
"1400000US37183053805","Census Tract 538.05; Wake County; North Carolina","723000","66666",
"1400000US37183053806","Census Tract 538.06; Wake County; North Carolina","616400","42838",
"1400000US37183053807","Census Tract 538.07; Wake County; North Carolina","652300","42210",
"1400000US37183053808","Census Tract 538.08; Wake County; North Carolina","757800","61999",
"1400000US37183053901","Census Tract 539.01; Wake County; North Carolina","740800","67969",
"1400000US37183053902","Census Tract 539.02; Wake County; North Carolina","649000","28075",
"1400000US37183054001","Census Tract 540.01; Wake County; North Carolina","372500","53755",
