OBJECTID;Name;Park Type;File Number;Parcel Count;Development Status;Map Acres;Address;Zip Code;Alternate Address;LWCF;Park ID;Initial Acquisition;Shape__Area;Shape__Length;City Council District;In Raleigh City Limits;In Raleigh ETJ;CAC;Parks Maintenance District;FEMA Lot;Point - Latitude;Point - Longitude;Open Space Facility Fee Zone;Park Website;GlobalID
181;Sunnybrook Road Property;Neighborhood;N-41;1;Undeveloped;20.5647876460447;141 Sunnybrook Rd;27610;NA;No;170;2/24/2006 12:00:00 AM;895805.733154297;7164.81970782302;C;1;1;Southeast;2;0;35.77721;-78.57699;4;;4271ff62-82bf-4e02-868b-e7a6fbdb0d49
182;River Bend;Neighborhood;N-46;1;Developed;25.7028644406191;5610 Wallace Martin Way;27616;NA;No;171;8/23/2012 12:00:00 AM;1122965.56469727;4831.44104101943;B;1;1;Forestville;6;0;35.86089;-78.52886;4;;7a7856ce-a905-407e-9851-302256d692a8
183;Five Points Center for Active Adults;Special;SP-48;1;Developed;4.73334723529176;2000 Noble Road;27608;NA;No;172;;206185.430297852;2390.99062238843;E;1;1;Five Points;4;0;35.80878;-78.63482;2;https://raleighnc.gov/places/five-points-center-active-adults;686a83fb-8f84-48e3-b885-6774ced42606
184;Forest Ridge;Metro;METRO-11;1;Developed;580.767928973946;11405 Falls of Neuse Rd;27587;NA;No;173;;25298352.180542;72566.5798497792;;0;0;;6;0;35.96515;-78.58743;;https://raleighnc.gov/places/forest-ridge-park;eff5247a-4f71-448b-b72a-7272d2baaab0
185;Abbotts Creek;Community;C-26;2;Developed;29.1151862615972;9950 Durant Rd;27614;NA;No;174;;1268262.58654785;6639.47733237253;B;1;1;North;6;0;35.90393;-78.57896;2;https://raleighnc.gov/places/abbotts-creek-park;bd3718fc-693c-4c2c-93f0-04c09b2fcc52
186;Maybrook Forest;Neighborhood;N-47;2;Undeveloped;38.2360101470446;2776 Maybrook Crossing Dr;27610;NA;No;175;2/19/2015 12:00:00 AM;1665567.2635498;7629.68242751049;C;0;1;Southeast;2;0;35.75329;-78.57267;4;;12be9340-8ec0-4532-85aa-2092052f3b59
187;Dorothea Dix Park;Metro;METRO-10;3;Developed;307.977093496258;900 S Boylan Ave;27603;NA;No;176;12/28/2012 12:00:00 AM;13415535.8547363;24030.7583096915;D;1;1;Southwest;Destination Parks;0;35.76847;-78.6557;3;https://raleighnc.gov/places/dorothea-dix-park;118368f1-d2aa-4d92-b891-6e15fc35b4c1
188;Chester & Oberlin;Open Space;OS-61;0;Undeveloped;0.495614983170946;Right of Way;27608;NA;No;177;;21589.0747070313;659.961444114827;E;1;1;Hillsborough-Wade;4;0;35.80137;-78.65961;3;;c67e9565-1372-4512-951a-03890238c368
189;Glenwood & Wake;Open Space;OS-65;0;Undeveloped;0.471163792186698;Right of Way;27608;NA;No;178;;20523.9759521484;974.542365352635;E;1;1;Five Points;Not Assigned;0;35.81194;-78.65085;3;;f6624583-e58f-42da-bdab-4e8f0ee44f88
190;3602 Woodlea Dr;Open Space;OS-83;2;Undeveloped;1.39675468535507;3602 Woodlea Dr;27604;3604 Woodlea Dr;No;179;;60842.8778076172;1044.83284961941;A;1;1;Atlantic;Not Assigned;1;35.82557;-78.59599;2;;0b141e6c-5f74-44a9-a479-2cf691b582c5
193;3800 Rock Quarry Road;Neighborhood;N-48;1;Undeveloped;5.01907049854588;3800 Rock Quarry Rd;27610;NA;No;182;;218631.585083008;2077.2096164627;C;0;1;South;2;0;35.73829;-78.58356;4;;7a968cbe-c7a5-4a94-ba01-e5a11daba29b
194;John Winters;Greenway;G-80;1;Developed;1.51968522242148;528 E Hargett St;27601;NA;No;183;;66540.2424316406;1180.57013949678;C;1;1;South Central;5;0;35.77735;-78.63133;4;;bfd4ec8e-3b12-45a6-9069-0192cfc427f7
195;Raymond G. Lanier;Mini;OS-40;0;Developed;0.0529448067118555;Right of Way;27603;NA;No;197;;2306.28527832031;227.175494529982;D;1;1;Central;5;0;35.77676;-78.65002;3;;614996fc-a27e-4f91-a6fd-79e0c557fc4b
196;Lassiter Mill;Greenway;G-104;3;Developed;3.21170826592381;825 Lassiter Pl;27609;3300 Lassiter Mill Rd;No;198;4/1/1985 5:00:00 AM;139902.570922852;2526.42588765998;E;1;1;Glenwood;Not Assigned;0;35.827;-78.65033;1;;47524b14-0cd6-48eb-abe2-b5eaf1bf44cd
197;Walnut Terrace;Special;SP-10;3;Developed;1.71448240880663;1256 McCauley St;27601;NA;No;104;;74683.1524658203;1072.22522293638;D;1;1;Central;1;0;35.76671;-78.6407;3;https://raleighnc.gov/places/walnut-terrace-park;5a1f48d0-a442-4db7-a797-d406327bfa24
198;Municipal Building Green;Mini;N-49;2;Developed;0.396475301404094;222 W Hargett St;27601;NA;No;199;12/7/1971 12:00:00 AM;17270.533203125;587.912942350761;D;1;1;Central;5;0;35.77939;-78.64316;4;;b3017671-8e29-4241-a014-0a6e0326132a
199;Mount Herman;Special;SP-31;2;Undeveloped;48.6192491335603;6205 Mt Herman Rd;27617;6121 Mt Herman Rd;No;202;;2089783.5892334;6485.64231268841;E;1;1;Northwest;3;0;35.91638;-78.7628;1;;6a8364e3-a5a2-482d-a519-234ac3cabcc1
